real,string,string,string
ID,sepallength,petallength,label
2,4.9_5.1,1.0_1.5,Iris-setosa
10,4.9_5.1,1.5_1.7,Iris-setosa
38,4.9_5.1,1.5_1.7,Iris-setosa
47,5.1_5.5,1.5_1.7,?
56,5.5_5.8,4.5_4.8,Iris-versicolor
59,6.4_6.8,4.5_4.8,Iris-versicolor
81,5.5_5.8,?,Iris-versicolor
85,5.1_5.5,4.5_4.8,Iris-versicolor
89,5.5_5.8,4.0_4.5,Iris-versicolor
91,5.5_5.8,4.0_4.5,Iris-versicolor
95,5.5_5.8,4.0_4.5,Iris-versicolor
111,6.4_6.8,?,Iris-virginica
127,6.1_6.4,4.8_5.2,?
132,?,5.7_6.969,Iris-virginica
133,6.4_6.8,?,Iris-virginica
5,?,1.0_1.5,Iris-setosa
48,4.3_4.9,1.0_1.5,Iris-setosa
49,?,1.5_1.7,Iris-setosa
53,6.8_7.979,4.8_5.2,Iris-versicolor
58,4.9_5.1,1.7_4.0,Iris-versicolor
64,?,4.5_4.8,Iris-versicolor
69,6.1_6.4,4.5_4.8,Iris-versicolor
78,6.4_6.8,4.8_5.2,?
84,5.8_6.1,4.8_5.2,Iris-versicolor
96,5.5_5.8,4.0_4.5,Iris-versicolor
104,6.1_6.4,5.2_5.7,Iris-virginica
114,5.5_5.8,4.8_5.2,?
123,6.8_7.979,5.7_6.969,?
125,6.4_6.8,5.7_6.969,?
141,6.4_6.8,5.2_5.7,Iris-virginica
11,5.1_5.5,1.5_1.7,Iris-setosa
16,5.5_5.8,1.5_1.7,Iris-setosa
18,5.1_5.5,1.0_1.5,Iris-setosa
24,5.1_5.5,1.7_4.0,Iris-setosa
46,4.3_4.9,1.0_1.5,Iris-setosa
60,5.1_5.5,1.7_4.0,Iris-versicolor
62,5.8_6.1,4.0_4.5,Iris-versicolor
71,5.8_6.1,4.8_5.2,?
101,6.1_6.4,5.7_6.969,Iris-virginica
116,6.4_6.8,5.2_5.7,Iris-virginica
118,?,5.7_6.969,?
134,6.1_6.4,4.8_5.2,Iris-virginica
135,6.1_6.4,5.2_5.7,Iris-virginica
142,6.8_7.979,4.8_5.2,?
144,6.8_7.979,5.7_6.969,Iris-virginica
8,4.9_5.1,1.5_1.7,Iris-setosa
22,?,1.5_1.7,Iris-setosa
23,4.3_4.9,1.0_1.5,Iris-setosa
33,5.1_5.5,?,Iris-setosa
63,5.8_6.1,4.0_4.5,Iris-versicolor
65,5.5_5.8,1.7_4.0,Iris-versicolor
86,5.8_6.1,4.5_4.8,Iris-versicolor
88,6.1_6.4,4.0_4.5,Iris-versicolor
92,6.1_6.4,4.5_4.8,Iris-versicolor
100,5.5_5.8,?,Iris-versicolor
103,6.8_7.979,5.7_6.969,Iris-virginica
106,6.8_7.979,5.7_6.969,Iris-virginica
139,5.8_6.1,4.8_5.2,Iris-virginica
145,6.4_6.8,5.7_6.969,Iris-virginica
148,6.4_6.8,5.2_5.7,Iris-virginica
21,5.1_5.5,?,Iris-setosa
28,5.1_5.5,1.5_1.7,Iris-setosa
34,5.5_5.8,1.0_1.5,Iris-setosa
36,4.9_5.1,1.0_1.5,Iris-setosa
51,6.8_7.979,4.5_4.8,Iris-versicolor
68,5.8_6.1,4.0_4.5,Iris-versicolor
90,5.5_5.8,4.0_4.5,Iris-versicolor
97,5.5_5.8,4.0_4.5,Iris-versicolor
98,6.1_6.4,4.0_4.5,Iris-versicolor
107,4.9_5.1,4.5_4.8,?
131,6.8_7.979,5.7_6.969,Iris-virginica
138,6.4_6.8,5.2_5.7,Iris-virginica
140,6.8_7.979,5.2_5.7,Iris-virginica
149,6.1_6.4,5.2_5.7,Iris-virginica
150,5.8_6.1,4.8_5.2,Iris-virginica
9,4.3_4.9,1.0_1.5,Iris-setosa
13,4.3_4.9,1.0_1.5,Iris-setosa
17,5.1_5.5,1.0_1.5,Iris-setosa
31,4.3_4.9,1.5_1.7,Iris-setosa
43,4.3_4.9,1.0_1.5,Iris-setosa
45,5.1_5.5,1.7_4.0,?
66,6.4_6.8,4.0_4.5,?
120,5.8_6.1,4.8_5.2,Iris-virginica
122,5.5_5.8,4.8_5.2,?
129,6.4_6.8,5.2_5.7,Iris-virginica
130,6.8_7.979,5.7_6.969,Iris-virginica
136,6.8_7.979,5.7_6.969,Iris-virginica
137,6.1_6.4,5.2_5.7,Iris-virginica
143,5.8_6.1,4.8_5.2,Iris-virginica
146,6.4_6.8,5.2_5.7,Iris-virginica
7,4.3_4.9,1.0_1.5,Iris-setosa
20,5.1_5.5,1.5_1.7,Iris-setosa
25,4.3_4.9,1.7_4.0,Iris-setosa
26,4.9_5.1,1.5_1.7,Iris-setosa
27,4.9_5.1,1.5_1.7,?
30,4.3_4.9,1.5_1.7,Iris-setosa
32,5.1_5.5,?,Iris-setosa
39,4.3_4.9,1.0_1.5,Iris-setosa
61,4.9_5.1,1.7_4.0,Iris-versicolor
80,5.5_5.8,1.7_4.0,Iris-versicolor
82,5.5_5.8,1.7_4.0,Iris-versicolor
93,5.8_6.1,4.0_4.5,Iris-versicolor
102,5.8_6.1,4.8_5.2,Iris-virginica
119,6.8_7.979,5.7_6.969,Iris-virginica
121,?,?,Iris-virginica
1,5.1_5.5,?,Iris-setosa
6,5.1_5.5,1.7_4.0,Iris-setosa
15,5.8_6.1,?,?
35,4.9_5.1,?,Iris-setosa
40,5.1_5.5,1.5_1.7,Iris-setosa
52,6.4_6.8,4.5_4.8,Iris-versicolor
55,6.4_6.8,4.5_4.8,Iris-versicolor
57,6.1_6.4,4.5_4.8,?
74,6.1_6.4,4.5_4.8,Iris-versicolor
75,6.4_6.8,4.0_4.5,Iris-versicolor
76,6.4_6.8,4.0_4.5,?
87,6.4_6.8,4.5_4.8,Iris-versicolor
94,?,1.7_4.0,Iris-versicolor
110,6.8_7.979,5.7_6.969,Iris-virginica
115,?,4.8_5.2,Iris-virginica
4,4.3_4.9,1.5_1.7,Iris-setosa
19,5.5_5.8,?,Iris-setosa
29,5.1_5.5,1.0_1.5,Iris-setosa
37,5.5_5.8,1.0_1.5,Iris-setosa
44,4.9_5.1,1.5_1.7,Iris-setosa
50,4.9_5.1,1.0_1.5,Iris-setosa
54,5.5_5.8,4.0_4.5,Iris-versicolor
72,6.1_6.4,4.0_4.5,Iris-versicolor
77,6.8_7.979,4.8_5.2,Iris-versicolor
79,5.8_6.1,4.5_4.8,Iris-versicolor
83,5.8_6.1,1.7_4.0,Iris-versicolor
99,5.1_5.5,1.7_4.0,Iris-versicolor
112,6.4_6.8,?,Iris-virginica
124,6.1_6.4,4.8_5.2,Iris-virginica
147,6.1_6.4,4.8_5.2,Iris-virginica
