string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
ID,HISTORY,PCWP,LVEDVOLUME,STROKEVOLUME,HRBP,ERRCAUTER,INSUFFANESTH,TPR,KINKEDTUBE,FIO2,SAO2,PULMEMBOLUS,INTUBATION,DISCONNECT,VENTMACH,VENTLUNG,ARTCO2,HR,BP
36,FALSE,HIGH,HIGH,LOW,HIGH,FALSE,FALSE,LOW,FALSE,NORMAL,?,FALSE,NORMAL,FALSE,NORMAL,ZERO,?,HIGH,LOW
38,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,FALSE,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,?,LOW
64,FALSE,HIGH,?,NORMAL,HIGH,FALSE,FALSE,LOW,FALSE,LOW,LOW,FALSE,NORMAL,TRUE,HIGH,HIGH,HIGH,HIGH,LOW
66,FALSE,NORMAL,NORMAL,LOW,?,FALSE,FALSE,?,FALSE,?,HIGH,FALSE,NORMAL,TRUE,NORMAL,LOW,LOW,NORMAL,LOW
69,FALSE,HIGH,HIGH,LOW,HIGH,?,?,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,HIGH,LOW
70,FALSE,?,NORMAL,LOW,NORMAL,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,FALSE,?,ZERO,LOW,HIGH,NORMAL
72,TRUE,LOW,LOW,LOW,HIGH,FALSE,TRUE,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,HIGH,?
76,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,FALSE,HIGH,?,NORMAL,LOW,FALSE,?,FALSE,NORMAL,?,HIGH,HIGH,HIGH
93,TRUE,LOW,LOW,LOW,HIGH,TRUE,FALSE,?,FALSE,NORMAL,HIGH,FALSE,NORMAL,TRUE,?,LOW,LOW,HIGH,?
100,?,LOW,NORMAL,NORMAL,HIGH,FALSE,FALSE,NORMAL,FALSE,?,HIGH,FALSE,NORMAL,TRUE,NORMAL,LOW,LOW,HIGH,NORMAL
103,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,FALSE,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,HIGH,HIGH
105,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,HIGH,?
120,FALSE,NORMAL,?,NORMAL,?,FALSE,FALSE,NORMAL,FALSE,?,?,FALSE,NORMAL,TRUE,NORMAL,LOW,LOW,HIGH,HIGH
138,FALSE,HIGH,HIGH,NORMAL,LOW,FALSE,FALSE,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,FALSE,NORMAL,ZERO,HIGH,HIGH,HIGH
