real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1,3.5,1.4,0.2,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
78,6.7,?,5.0,1.7,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
124,6.3,2.7,4.9,1.8,Iris-virginica
139,6.0,3.0,?,1.8,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
146,6.7,3.0,5.2,2.3,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
