real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
62,5.9,3.0,4.2,1.5,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
