sepallength,sepalwidth,petallength,petalwidth,label
5.4,3.7,1.5,0.2,Iris-setosa
6.1,2.9,4.7,1.4,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
6.5,3.2,5.1,2.0,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
