real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
69,6.2,2.2,4.5,1.5,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
108,7.3,2.9,6.3,1.8,Iris-virginica
111,6.5,3.2,5.1,2.0,Iris-virginica
127,6.2,2.8,4.8,1.8,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
149,6.2,3.4,5.4,2.3,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
